subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment	mapping_set_id	mapping_set_version	mapping_set_description	license
dyn:AnyChangeAction	AnyChangeAction	owl:equivalentClass	och:OntologicalChange	Ontological Change	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.9	Top-level class for representing any change in an ontology.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:BasicChange	BasicChange	rdfs:subClassOf	och:EntityChange	Entity Change	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.8	Basic changes are a type of entity-level change (add/delete).	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:ComplexChange	ComplexChange	skos:closeMatch	och:ChangeSet	Change Set	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.85	Both represent a group/composition of changes.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:HeuristicChange	HeuristicChange	skos:closeMatch	och:ChangeSet	Change Set	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.85	Heuristic changes group basic changes, similar to a ChangeSet.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:BasicChangeConcept	BasicChangeConcept	rdfs:subClassOf	och:ClassChange	Class Change	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.9	Basic change operations on classes (add/delete).	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:addC	addC	skos:closeMatch	och:AddClass	Add Class	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.95	Both represent the addition of a class.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:delC	delC	skos:closeMatch	och:RemoveClass	Remove Class	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.95	Both represent the deletion/removal of a class.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:BasicChangeProperties	BasicChangeProperties	rdfs:subClassOf	och:PropertyChange	Property Change	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.9	Basic changes related to properties.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:addP	addP	skos:closeMatch	och:AddProperty	Add Property	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.9	Both represent the addition of a property.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:delP	delP	skos:closeMatch	och:RemoveProperty	Remove Property	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.9	Both represent the removal of a property.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:addSupC	addSupC	skos:closeMatch	och:AddSubClass	Add Sub Class	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.85	Both involve adding a subclass (subClassOf) relationship.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
dyn:delSupC	delSupC	skos:closeMatch	och:RemoveSubClass	Remove Sub Class	semapv:LexicalMatching;semapv:StructuralMatching	2024-12-19	ex:author1	DynDiffOnto	1.0.0	OCH	3.0.0	0.85	Both involve removing a subclass relationship.	ex:alignment_DynDiffOnto_OCH	1.0	Alignment between DynDiffOnto and OWL Change Ontology (OCH)	https://creativecommons.org/licenses/by/4.0/
