record_id,subject_id,object_id,predicate_id,mapping_justification,author_id,confidence,comment
ex:map1,ex:ekaw:Person,ex:iasted:Person,owl:equivalentClass,semapv:LexicalMatching,,0.99,Both ontologies define a class labeled Person with the same intended meaning.
ex:map2,ex:ekaw:Document,ex:iasted:Document,owl:equivalentClass,semapv:LexicalMatching,,0.99,Exact lexical match on Document; both represent documents.
ex:map3,ex:ekaw:Review,ex:iasted:Review,owl:equivalentClass,semapv:LexicalMatching,,0.98,Exact lexical match on Review; both are document-like review artifacts.
ex:map4,ex:ekaw:Session,ex:iasted:Session,owl:equivalentClass,semapv:LexicalMatching,,0.97,Exact lexical match on Session; both denote conference sessions.
ex:map5,ex:ekaw:Tutorial,ex:iasted:Tutorial,owl:equivalentClass,semapv:LexicalMatching,,0.98,Exact lexical match on Tutorial; both model tutorial events/lectures.
ex:map6,ex:ekaw:Presenter,ex:iasted:Speaker,skos:closeMatch,semapv:SemanticSimilarityThresholdMatching,,0.78,"EKAW Presenter and IASTED Speaker both denote persons giving presentations, but labels and axioms are not fully identical."
ex:map7,ex:ekaw:Session_Chair,ex:iasted:Session_chair,owl:equivalentClass,semapv:LexicalSimilarityThresholdMatching,,0.96,Near-exact lexical match differing only by underscore/capitalization; both denote the chair of a session.
ex:map8,ex:ekaw:Student,ex:iasted:Student_lecturer,skos:broadMatch,semapv:SemanticSimilarityThresholdMatching,,0.63,"EKAW Student is broader than IASTED Student_lecturer, which is specifically a student who is also a lecturer."
ex:map9,ex:ekaw:Possible_Reviewer,ex:iasted:Reviewer,skos:broadMatch,semapv:SemanticSimilarityThresholdMatching,,0.72,A possible reviewer is broader than an actual reviewer; IASTED Reviewer is someone who gives a review.
ex:map10,ex:ekaw:Paper_Author,ex:iasted:Author,owl:equivalentClass,semapv:SemanticSimilarityThresholdMatching,,0.87,Both classes denote authors of submitted/presented papers or manuscripts in the conference domain.
ex:map11,ex:ekaw:Conference_Participant,ex:iasted:Delegate,owl:equivalentClass,semapv:SemanticSimilarityThresholdMatching,,0.86,Conference_Participant and Delegate both represent a person attending or participating in the conference.
ex:map12,ex:ekaw:PC_Member,ex:iasted:Technical_commitee,skos:closeMatch,semapv:BackgroundKnowledgeBasedMatching,,0.74,"Program committee member in EKAW is close to technical committee member in IASTED, though committee naming conventions differ."
ex:map13,ex:ekaw:Abstract,ex:iasted:Submission,skos:relatedMatch,semapv:SemanticSimilarityThresholdMatching,,0.54,"Both are document artifacts related to scholarly submission, but an abstract is not equivalent to a submission."
ex:map14,ex:ekaw:Camera_Ready_Paper,ex:iasted:Final_manuscript,owl:equivalentClass,semapv:SemanticSimilarityThresholdMatching,,0.91,"Camera-ready paper corresponds closely to final manuscript, both being the post-acceptance final version."
