record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
cmt-confOf-001-Administrator-Administrator-class-exact-1.00-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:Administrator	confOf:Administrator	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact label match; both denote the administrator role/person in conference management.
cmt-confOf-002-Author-Author-class-exact-1.00-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:Author	confOf:Author	owl:equivalentClass	semapv:LexicalMatching		0.99	Exact label match; both classes represent authors of submitted conference contributions/papers.
cmt-confOf-003-Paper-Paper-class-exact-0.97-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:Paper	confOf:Paper	skos:exactMatch	semapv:LexicalMatching		0.97	Exact label match; both represent a paper submission, though ConfOf models Paper specifically as a kind of Contribution while CMT models Paper as a kind of Document.
cmt-confOf-004-Conference-Conference-class-exact-0.96-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:Conference	confOf:Conference	skos:exactMatch	semapv:LexicalMatching		0.96	Exact label match; both denote a conference, but the surrounding class structure differs across ontologies.
cmt-confOf-005-Person-Person-class-exact-0.99-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:Person	confOf:Person	owl:equivalentClass	semapv:LexicalMatching		0.99	Exact label match; both represent persons involved in the conference domain.
cmt-confOf-006-SubjectArea-Topic-class-close-0.78-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:SubjectArea	confOf:Topic	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.78	Subject area in CMT closely corresponds to topic in ConfOf as the thematic area of a paper or event, but labels are not identical and scope may differ slightly.
cmt-confOf-007-ProgramCommitteeMember-Member-PC-class-close-0.88-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:ProgramCommitteeMember	confOf:Member_PC	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.88	ProgramCommitteeMember in CMT is close to Member_PC in ConfOf; both denote program committee members, though ConfOf emphasizes reviewing and expertise restrictions.
cmt-confOf-008-Reviewer-Member-PC-class-close-0.83-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:Reviewer	confOf:Member_PC	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.83	CMT Reviewer is close to ConfOf Member_PC because ConfOf annotates Member_PC as Reviewer and constrains it to review contributions; however, CMT distinguishes reviewer from program committee member more explicitly.
cmt-confOf-009-ProgramCommitteeChair-Chair-PC-class-close-0.9-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:ProgramCommitteeChair	confOf:Chair_PC	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.9	Program committee chair in CMT closely corresponds to Chair_PC in ConfOf.
cmt-confOf-010-title-hasTitle-property-close-0.91-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:title	confOf:hasTitle	skos:closeMatch	semapv:LexicalSimilarityThresholdMatching		0.91	Both datatype properties denote the title of a submitted paper/contribution; labels differ syntactically but semantics are highly similar.
cmt-confOf-011-email-hasEmail-property-close-0.95-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:email	confOf:hasEmail	skos:closeMatch	semapv:LexicalSimilarityThresholdMatching		0.95	Both datatype properties represent an email address for a person.
cmt-confOf-012-name-hasTitle-property-related-0.42-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:name	confOf:hasTitle	skos:relatedMatch	semapv:SemanticSimilarityThresholdMatching		0.42	CMT name and ConfOf hasTitle are only loosely related as textual naming properties; domains differ substantially, so this is not an equivalence.
cmt-confOf-013-hasSubjectArea-dealsWith-property-close-0.84-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:hasSubjectArea	confOf:dealsWith	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.84	Both properties link a paper/contribution to its thematic area or topic.
cmt-confOf-014-hasAuthor-writtenBy-property-close-0.87-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:hasAuthor	confOf:writtenBy	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.87	Both properties connect a paper/contribution to its author; domains and ranges are closely aligned though the surrounding class hierarchies differ.
cmt-confOf-015-writePaper-writes-property-close-0.9-2026-03-16-gpt-5-mini-2026-03-16:ontology-alignment	cmt:writePaper	confOf:writes	skos:closeMatch	semapv:LexicalSimilarityThresholdMatching		0.9	Both properties relate an author to a paper/contribution they write.
