record_id,subject_id,object_id,predicate_id,mapping_justification,author_id,confidence,comment
row1-edas-paper-ekaw-paper-v1.0.0-2026-03-16-AI1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-corrupt-long-id-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-corrupt-long-id-omitted-for-readability-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-1.0.0-2026-03-16-edas-ekaw-1.0-ex:chatgpt,edas:Paper,ekaw:Paper,owl:equivalentClass,semapv:LexicalMatching,,1.0,Labels identical ('Paper') and both are modeled as subclasses of Document; high-confidence lexical equivalence.
row2-edas-review-ekaw-review-2026-03-16-ex:chatgpt,edas:Review,ekaw:Review,owl:equivalentClass,semapv:LexicalMatching,,1.0,Same label 'Review' and both are subclasses of Document in the two ontologies.
row3-edas-conference-ekaw-conference-2026-03-16-ex:chatgpt,edas:Conference,ekaw:Conference,owl:equivalentClass,semapv:LexicalMatching,,1.0,Same label 'Conference' and similar modeling (event/edition of a conference).
row4-edas-person-ekaw-person-2026-03-16-ex:chatgpt,edas:Person,ekaw:Person,owl:equivalentClass,semapv:LexicalMatching,,1.0,Same label 'Person' and matching disjoint/role modeling across ontologies.
row5-edas-document-ekaw-document-2026-03-16-ex:chatgpt,edas:Document,ekaw:Document,owl:equivalentClass,semapv:LexicalMatching,,1.0,"Both vocabularies define 'Document' with similar usage (parent for Paper, Review, etc.)."
row6-edas-presenter-ekaw-presenter-2026-03-16-ex:chatgpt,edas:Presenter,ekaw:Presenter,owl:equivalentClass,semapv:LexicalMatching,,1.0,Same label 'Presenter' and both are subclass-of Person/Conference_Participant in respective ontologies.
row7-edas-workshop-ekaw-workshop-2026-03-16-ex:chatgpt,edas:Workshop,ekaw:Workshop,owl:equivalentClass,semapv:LexicalMatching,,1.0,Exact lexical match 'Workshop' and same role as an event type in both ontologies.
row8-edas-conferenceSession-ekaw-Conference-Session-2026-03-16-ex:chatgpt,edas:ConferenceSession,ekaw:Conference_Session,owl:equivalentClass,semapv:LexicalMatching,,0.98,Names differ only by underscore; both model session concepts related to conferences (subclass of Session/Event).
row9-edas-acceptedpaper-ekaw-accepted-paper-2026-03-16-ex:chatgpt,edas:AcceptedPaper,ekaw:Accepted_Paper,owl:equivalentClass,semapv:LexicalMatching,,0.98,Accepted paper classes with near-identical meaning; lexical difference is underscore/compound naming.
row10-edas-rejectedpaper-ekaw-rejected-paper-2026-03-16-ex:chatgpt,edas:RejectedPaper,ekaw:Rejected_Paper,owl:equivalentClass,semapv:LexicalMatching,,0.98,Both define a 'Rejected' paper class used in evaluation pipelines; lexical forms closely match.
