record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
m1.cmt-admin-confOf-admin-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:Administrator	confOf:Administrator	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match of class label and congruent modeling of administrator role (both are subclasses of Person).
m2.cmt-person-confOf-person-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:Person	confOf:Person	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match of class label; both represent people with similar structural constraints (email, address, etc.).
m3.cmt-Author-confOf-Author-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:Author	confOf:Author	owl:equivalentClass	semapv:LexicalMatching		0.98	Exact lexical match and similar modeling (subclass of Person with writing/writes relationships to papers/contributions).
m4.cmt-Paper-confOf-Paper-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:Paper	confOf:Paper	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match of class label; both model paper/contribution artifacts in the conference domain.
m5.cmt-Conference-confOf-Conference-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:Conference	confOf:Conference	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match and similar modeling (conference as an event/organizational entity).
m6.cmt-ProgramCommitteeMember-confOf-MemberPC-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:ProgramCommitteeMember	confOf:Member_PC	owl:equivalentClass	semapv:StructuralMatching		0.85	Structural similarity: both are specialized persons with reviewing responsibilities (restrictions on review properties); labels differ but roles align (ProgramCommitteeMember ≈ Member_PC).
m7.cmt-ConferenceChair-confOf-ChairPC-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:ConferenceChair	confOf:Chair_PC	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.9	High lexical similarity (ConferenceChair vs Chair_PC) and similar position within conference organization hierarchies.
m8.cmt:writtenBy-confOf:writtenBy-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:writtenBy	confOf:writtenBy	owl:equivalentProperty	semapv:LexicalMatching		0.95	Exact lexical match of property name; both are inverseOf properties for authorship (domain: review/contribution, range: reviewer/author).
m9.cmt:hasAuthor-confOf:writtenBy-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:hasAuthor	confOf:writtenBy	owl:equivalentProperty	semapv:BackgroundKnowledgeBasedMatching		0.8	
m10.cmt:writePaper-confOf:writes-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:writePaper	confOf:writes	owl:equivalentProperty	semapv:LexicalSimilarityThresholdMatching		0.88	Lexical similarity (writePaper vs writes) and analogous semantics (author writes contribution/paper); cmt:writePaper is inverseOf hasAuthor, confOf:writes inverseOf writtenBy.
m11.cmt:email-confOf:hasEmail-2026-03-16-v1.0-1.0-ex:AI_Assistant	cmt:email	confOf:hasEmail	owl:equivalentProperty	semapv:LexicalSimilarityThresholdMatching		0.9	High lexical similarity and identical datatype semantics (email / hasEmail) with domain Person in both ontologies.
