record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
ex:map1	ex:edas#Paper	ex:ekaw#Paper	owl:equivalentClass	semapv:LexicalMatching		0.99	Both ontologies define Paper as a document class for papers; labels are identical and semantics align closely.
ex:map2	ex:edas#Review	ex:ekaw#Review	owl:equivalentClass	semapv:LexicalMatching		0.99	Exact lexical match on Review, and both are document subclasses representing paper reviews.
ex:map3	ex:edas#Document	ex:ekaw#Document	owl:equivalentClass	semapv:LexicalMatching		0.98	Exact lexical match on Document; both serve as a general superclass for documents such as papers and reviews.
ex:map4	ex:edas#Person	ex:ekaw#Person	owl:equivalentClass	semapv:LexicalMatching		0.99	Exact lexical match on Person with consistent high-level semantics in both ontologies.
ex:map5	ex:edas#Conference	ex:ekaw#Conference	owl:equivalentClass	semapv:LexicalMatching		0.98	Exact lexical match on Conference; both represent a conference event edition.
ex:map6	ex:edas#ConferenceSession	ex:ekaw#Conference_Session	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.95	Labels differ only by separator style; both denote sessions that are part of a conference.
ex:map7	ex:edas#SessionChair	ex:ekaw#Session_Chair	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.96	Labels are near-identical modulo underscore formatting, and both denote the chair role for a session.
ex:map8	ex:edas#TPCMember	ex:ekaw#PC_Member	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.82	EDAS TPCMember is closely related to EKAW PC_Member; in conference ontologies TPC commonly corresponds to program committee, but naming is not identical enough for equivalence without stronger evidence.
ex:map9	ex:edas#Author	ex:ekaw#Paper_Author	owl:equivalentClass	semapv:SemanticSimilarityThresholdMatching		0.9	EDAS Author is defined as a person related to a paper, and EKAW Paper_Author is a person subclass with the same intended role.
ex:map10	ex:edas#Presenter	ex:ekaw#Presenter	owl:equivalentClass	semapv:LexicalMatching		0.97	Exact lexical match on Presenter with compatible role semantics in conference presentation context.
ex:map11	ex:edas#Attendee	ex:ekaw#Conference_Participant	rdfs:subClassOf	semapv:SemanticSimilarityThresholdMatching		0.78	An attendee is a kind of conference participant, but Conference_Participant is broader because it includes chairs, presenters, and other roles.
ex:map12	ex:edas#Topic	ex:ekaw#Research_Topic	owl:equivalentClass	semapv:SemanticSimilarityThresholdMatching		0.93	EDAS Topic and EKAW Research_Topic both represent thematic subject areas covered by papers or events.
ex:map13	ex:edas#Organization	ex:ekaw#Organisation	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.97	Organization and Organisation are spelling variants of the same concept and both denote organizations.
ex:map14	ex:edas#Place	ex:ekaw#Location	owl:equivalentClass	semapv:SemanticSimilarityThresholdMatching		0.9	EDAS Place and EKAW Location both denote where events are held; labels differ but intended meaning is closely aligned.
ex:map15	ex:edas#Workshop	ex:ekaw#Workshop	owl:equivalentClass	semapv:LexicalMatching		0.98	Exact lexical match on Workshop; both model workshop events.
ex:map16	ex:edas#AcademicEvent	ex:ekaw#Scientific_Event	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.8	AcademicEvent in EDAS is close to Scientific_Event in EKAW, but the scopes may differ slightly, so closeMatch is safer than equivalence.
ex:map17	ex:edas#SocialEvent	ex:ekaw#Social_Event	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.97	Labels differ only by separator style; both denote social events associated with a conference.
ex:map18	ex:edas#PaperPresentation	ex:ekaw#Contributed_Talk	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.76	Both refer to presentation events tied to papers, but EKAW Contributed_Talk is more specific and constrained to camera-ready papers.
ex:map19	ex:edas#AcceptedPaper	ex:ekaw#Accepted_Paper	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.97	Labels are equivalent modulo underscore formatting, and both denote accepted papers.
ex:map20	ex:edas#RejectedPaper	ex:ekaw#Rejected_Paper	owl:equivalentClass	semapv:LexicalSimilarityThresholdMatching		0.97	Labels are equivalent modulo formatting, and both denote rejected papers.
ex:map21	ex:edas#Call	ex:ekaw#Flyer	skos:relatedMatch	semapv:BackgroundKnowledgeBasedMatching		0.42	A Call in EDAS is related to promotional conference material such as a Flyer in EKAW, but they are not equivalent and the relation is weak.
ex:map22	ex:edas#Programme	ex:ekaw#Programme_Brochure	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching		0.84	EDAS Programme is a document about event programming, and EKAW Programme_Brochure is a closely corresponding document type.
