subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	mapping_set_id	mapping_set_version	mapping_set_description	license	subject_source	subject_source_version	object_source	object_source_version	confidence	comment
och:OntologicalChange	Ontological Change	skos:closeMatch	chg:AnyChangeAction	AnyChangeAction	semapv:LexicalSimilarityThresholdMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.85	Both represent general change actions in ontologies, though OCH is specifically for OWL ontologies while DynDiffOnto is more general
och:ChangeSet	Change Set	skos:relatedMatch	chg:ComplexChange	ComplexChange	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.75	Both represent composed/aggregated changes, though DynDiffOnto distinguishes between ComplexChange and HeuristicChange
och:Changelog	Changelog	skos:closeMatch	chg:Version	Version	semapv:LexicalSimilarityThresholdMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.70	Both relate to ontology versions, but OCH's Changelog is a set of changes while DynDiff's Version represents a specific ontology version
och:AddClass	Add Class	skos:closeMatch	chg:addC	addC	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.90	Both represent addition of a class to an ontology
och:RemoveClass	Remove Class	skos:closeMatch	chg:delC	delC	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.90	Both represent removal of a class from an ontology
och:AddDataProperty	Add Data Property	skos:broadMatch	chg:addP	addP	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.80	OCH distinguishes between data and object properties, while DynDiff's addP is general for any property
och:AddObjectProperty	Add Object Property	skos:broadMatch	chg:addP	addP	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.80	OCH distinguishes between data and object properties, while DynDiff's addP is general for any property
och:RemoveDataProperty	Remove Data Property	skos:broadMatch	chg:delP	delP	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.80	OCH distinguishes between data and object properties, while DynDiff's delP is general for any property
och:RemoveObjectProperty	Remove Object Property	skos:broadMatch	chg:delP	delP	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.80	OCH distinguishes between data and object properties, while DynDiff's delP is general for any property
och:AddSubClass	Add Sub Class	skos:closeMatch	chg:addSupC	addSupC	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.85	Both represent addition of subclass relationship
och:RemoveSubClass	Remove Sub Class	skos:closeMatch	chg:delSupC	delSupC	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.85	Both represent removal of subclass relationship
och:AddSubPropertyOf	Add Sub Property Of	skos:closeMatch	chg:addSupP	addSupP	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.85	Both represent addition of subproperty relationship
och:RemoveSubPropertyOf	Remove Sub Property Of	skos:closeMatch	chg:delSupP	delSupP	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.85	Both represent removal of subproperty relationship
och:AddIndividual	Add Individual	skos:closeMatch	chg:addI	addI	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.90	Both represent addition of an individual/instance
och:RemoveIndividual	Remove Individual	skos:closeMatch	chg:delI	delI	semapv:LexicalMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.90	Both represent removal of an individual/instance
och:AddAnnotationToEntity	Add Annotation to Entity	skos:broadMatch	chg:addOtherA	addOtherA	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.75	DynDiff's addOtherA includes annotations but also other attributes
och:RemoveAnnotationFromEntity	Remove Annotation from Entity	skos:broadMatch	chg:delOtherA	delOtherA	semapv:StructuralMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.75	DynDiff's delOtherA includes annotations but also other attributes
och:RenameEntity	Rename Entity	skos:closeMatch	chg:renC	renC	semapv:SemanticSimilarityThresholdMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.70	DynDiff has separate renC, renP, renI for different entity types, while OCH has a general RenameEntity
och:RenameEntity	Rename Entity	skos:closeMatch	chg:renP	renP	semapv:SemanticSimilarityThresholdMatching	2024-12-19	lm:gpt-4	och-dyndiff-mappings	1.0.0	Alignments between OCH (OWL Change Ontology) and DynDiffOnto change ontologies	CC-BY-4.0	OCH	3.0.0	DynDiffOnto	1.0.0	0.70	DynDiff has separate renC, renP, renI for different entity types, while OCH has a general RenameEntity
