record_id	subject_id	object_id	predicate_id	mapping_justification	author_id	confidence	comment
	edas:Paper	ekaw:Paper	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Document	ekaw:Document	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Review	ekaw:Review	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Conference	ekaw:Conference	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match
	edas:Person	ekaw:Person	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match
	edas:ConferenceSession	ekaw:Conference_Session	owl:equivalentClass	semapv:LexicalMatching		0.9	Lexical match after formatting
	edas:Presenter	ekaw:Presenter	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match
	edas:SessionChair	ekaw:Session_Chair	owl:equivalentClass	semapv:LexicalMatching		0.9	Lexical match after formatting
	edas:AcceptedPaper	ekaw:Accepted_Paper	owl:equivalentClass	semapv:LexicalMatching		0.9	Lexical match after formatting
	edas:RejectedPaper	ekaw:Rejected_Paper	owl:equivalentClass	semapv:LexicalMatching		0.9	Lexical match after formatting
	edas:Workshop	ekaw:Workshop	owl:equivalentClass	semapv:LexicalMatching		1.0	Exact lexical match
	edas:SocialEvent	ekaw:Social_Event	owl:equivalentClass	semapv:LexicalMatching		0.9	Lexical match after formatting
	edas:Organization	ekaw:Organisation	owl:equivalentClass	semapv:LexicalMatching		0.9	Lexical match with minor spelling variation
	edas:Author	ekaw:Paper_Author	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.8	Semantic similarity
	edas:Place	ekaw:Location	skos:exactMatch	semapv:BackgroundKnowledgeBasedMatching		0.8	Synonyms in context
	edas:Topic	ekaw:Research_Topic	skos:closeMatch	semapv:BackgroundKnowledgeBasedMatching		0.8	Semantic similarity
